sequence_name	coding_score	classification
XR_001781308.1	0.01903	noncoding
XM_017313816.2	0.27920	noncoding
NM_001033421.3	0.65968	coding
NR_131044.1	0.00392	noncoding
XR_001783836.1	0.00744	noncoding
NR_160684.1	0.22825	noncoding
XR_865345.2	0.00374	noncoding
XR_871557.3	0.20287	noncoding
XR_003948173.1	0.17470	noncoding
XR_867909.1	0.08899	noncoding
XR_001779648.1	0.00899	noncoding
XR_373491.3	0.01380	noncoding
XR_875144.3	0.01363	noncoding
XR_869139.1	0.02438	noncoding
XR_001778995.1	0.05886	noncoding
XR_873148.2	0.10320	noncoding
XR_374743.4	0.01298	noncoding
NR_038007.1	0.01087	noncoding
NR_152261.1	0.96829	coding
NR_166632.1	0.08300	noncoding
XR_382148.2	0.00673	noncoding
NM_027166.6	0.99659	coding
XR_003951597.1	0.18952	noncoding
XR_003952232.1	0.01548	noncoding
XR_376436.4	0.00629	noncoding
XR_001782215.1	0.01090	noncoding
XR_386610.3	0.05959	noncoding
XR_384751.3	0.05563	noncoding
NR_166611.1	0.00561	noncoding
XM_006495562.2	0.97088	coding
XR_373288.3	0.01305	noncoding
XR_003955895.1	0.04357	noncoding
XR_001778645.2	0.03576	noncoding
XM_011239900.1	0.07304	noncoding
XR_001779573.2	0.04180	noncoding
XR_875650.3	0.01667	noncoding
XR_003955229.1	0.02326	noncoding
XR_003948966.1	0.03697	noncoding
XR_382157.3	0.21488	noncoding
XR_001781399.2	0.00436	noncoding
XR_877048.2	0.00463	noncoding
XR_001783248.2	0.02073	noncoding
XR_001778087.2	0.01673	noncoding
NR_045843.1	0.86367	coding
XR_865578.3	0.00984	noncoding
XR_003956311.1	0.01972	noncoding
XR_003953502.1	0.01972	noncoding
NR_166710.1	0.09841	noncoding
NR_040647.1	0.01141	noncoding
NM_001243240.1	0.74143	coding
NR_110781.1	0.48082	noncoding
NR_157039.1	0.01699	noncoding
XR_870024.1	0.06825	noncoding
XR_003953973.1	0.01405	noncoding
NR_033547.1	0.13814	noncoding
NM_009079.3	0.99690	coding
XR_001784863.1	0.00139	noncoding
XM_006517993.3	0.92856	coding
XR_874820.3	0.00462	noncoding
XR_877808.2	0.02006	noncoding
XR_869393.2	0.10379	noncoding
XR_003948091.1	0.04382	noncoding
XM_006495564.2	0.97364	coding
XR_385485.1	0.03737	noncoding
XR_874985.2	0.02042	noncoding
NR_033398.1	0.13675	noncoding
XR_390406.3	0.02367	noncoding
XM_006540273.3	0.78196	coding
XR_003949753.1	0.02321	noncoding
XR_872891.3	0.01722	noncoding
XR_003953341.1	0.02321	noncoding
NR_040590.1	0.02822	noncoding
NR_045463.1	0.00317	noncoding
XM_011249526.1	0.95134	coding
XR_876670.1	0.03838	noncoding
NM_001311067.1	0.99694	coding
NM_001048207.1	0.25119	noncoding
NM_176966.4	0.99879	coding
XR_388755.1	0.00808	noncoding
NR_126080.1	0.02846	noncoding
NM_170777.4	0.12688	noncoding
XR_003946608.1	0.04758	noncoding
NM_001362054.1	0.97244	coding
XR_880263.2	0.01080	noncoding
XR_382308.3	0.00754	noncoding
XR_877214.2	0.14401	noncoding
XR_881163.2	0.76456	coding
XR_882250.1	0.86961	coding
XR_001779001.1	0.07063	noncoding
XR_001781990.1	0.03984	noncoding
XR_001783405.1	0.00894	noncoding
XR_871845.2	0.01719	noncoding
XR_387997.4	0.00298	noncoding
NM_001358003.1	0.10418	noncoding
XR_003948956.1	0.48443	noncoding
XR_003954006.1	0.16146	noncoding
XR_377782.2	0.01352	noncoding
XR_383253.2	0.01188	noncoding
XR_390407.3	0.05568	noncoding
XR_001781048.2	0.02646	noncoding
XR_387332.2	0.00969	noncoding
XR_378199.2	0.01868	noncoding
XR_001781925.1	0.06739	noncoding
XR_878286.2	0.00182	noncoding
XR_003950172.1	0.90946	coding
XM_017315332.2	0.50514	coding
XR_003950649.1	0.14713	noncoding
XR_882186.2	0.00628	noncoding
XR_873924.1	0.00540	noncoding
XR_003948960.1	0.38231	noncoding
XR_003951970.1	0.05647	noncoding
NR_130904.1	0.00752	noncoding
XR_379320.2	0.01456	noncoding
XR_001782504.2	0.00416	noncoding
XR_378815.4	0.04132	noncoding
NM_001145552.2	0.92623	coding
XR_378160.3	0.01889	noncoding
XR_003948957.1	0.50882	coding
XR_003948964.1	0.49526	noncoding
XR_375198.3	0.01226	noncoding
XR_001785030.2	0.02715	noncoding
XR_869623.3	0.02836	noncoding
NR_027920.1	0.02042	noncoding
NR_038012.1	0.45747	noncoding
NM_001291046.1	0.98140	coding
XR_375917.2	0.01652	noncoding
XR_879271.1	0.04719	noncoding
XR_872809.1	0.02303	noncoding
XR_874879.1	0.09761	noncoding
XR_385678.2	0.01502	noncoding
XR_877378.1	0.15120	noncoding
XR_380732.3	0.12950	noncoding
XR_873894.3	0.00876	noncoding
XR_379221.3	0.01320	noncoding
NR_003283.1	0.01476	noncoding
NM_001033789.2	0.02578	noncoding
XR_384789.1	0.03431	noncoding
XR_379319.3	0.05793	noncoding
XR_003948331.1	0.05457	noncoding
NM_001302354.1	0.99722	coding
NR_151606.1	0.13464	noncoding
XR_386656.4	0.06899	noncoding
XR_001779479.2	0.25104	noncoding
XR_003956312.1	0.00619	noncoding
XR_003953114.1	0.03521	noncoding
XR_003953503.1	0.00619	noncoding
XR_003951072.1	0.06546	noncoding
XR_001785069.2	0.08005	noncoding
XR_003955785.1	0.01300	noncoding
XR_374914.2	0.00920	noncoding
XR_003955224.1	0.01677	noncoding
XR_003953510.1	0.01677	noncoding
NM_177233.5	0.93864	coding
XR_868144.2	0.04434	noncoding
XR_383418.2	0.00833	noncoding
XR_001780694.2	0.02840	noncoding
XR_001782170.2	0.04716	noncoding
NM_001379567.1	0.94022	coding
NR_040760.1	0.01036	noncoding
XR_872708.3	0.98179	coding
XR_003954018.1	0.00918	noncoding
XR_378447.3	0.00702	noncoding
NM_001164037.2	0.93926	coding
NR_040466.1	0.02765	noncoding
XR_878531.1	0.03674	noncoding
XR_374348.2	0.02869	noncoding
XR_870019.1	0.05289	noncoding
XR_380678.2	0.01351	noncoding
XR_875517.1	0.04381	noncoding
XR_001781996.1	0.01396	noncoding
NR_153441.1	0.08311	noncoding
XR_003949555.1	0.00833	noncoding
NM_001122950.2	0.71729	coding
XR_870857.1	0.07287	noncoding
XR_388188.3	0.02344	noncoding
XR_390567.4	0.06823	noncoding
XR_881908.3	0.64118	coding
NM_025563.3	0.94840	coding
NM_001357230.1	0.97338	coding
XM_017321648.2	0.90685	coding
XR_003946658.1	0.00297	noncoding
XR_871277.2	0.01087	noncoding
XR_384287.3	0.04687	noncoding
XR_003951536.1	0.05073	noncoding
XR_869395.2	0.01417	noncoding
NM_001379544.1	0.98702	coding
XR_869880.1	0.00562	noncoding
XR_873925.1	0.00240	noncoding
XR_377712.3	0.00529	noncoding
XR_881175.2	0.08627	noncoding
NR_046029.1	0.07964	noncoding
NR_046209.1	0.04106	noncoding
NR_015500.3	0.04695	noncoding
NR_110780.1	0.48749	noncoding
XR_001782141.1	0.00903	noncoding
NM_001134752.2	0.90442	coding
XR_879149.2	0.03166	noncoding
XR_380686.2	0.01099	noncoding
NM_001311066.1	0.99544	coding
XR_375972.2	0.04696	noncoding
XR_378937.3	0.00370	noncoding
XR_882407.2	0.04911	noncoding
XR_377521.3	0.16652	noncoding
NR_131150.1	0.02276	noncoding
NR_133573.1	0.99367	coding
XR_872164.2	0.03495	noncoding
XR_001781977.1	0.02956	noncoding
XR_003950581.1	0.05183	noncoding
XR_001778625.2	0.00709	noncoding
NR_040385.1	0.05546	noncoding
XR_878071.1	0.01913	noncoding
XR_872300.2	0.01478	noncoding
XR_880428.3	0.02034	noncoding
NR_046053.1	0.01117	noncoding
XR_001780633.2	0.05299	noncoding
XR_001781957.2	0.00839	noncoding
NM_001164576.1	0.88644	coding
XR_868134.1	0.01383	noncoding
NR_110484.2	0.02153	noncoding
XR_003955223.1	0.01362	noncoding
XR_003953509.1	0.01362	noncoding
NM_009497.3	0.97666	coding
NR_040387.1	0.00404	noncoding
XR_390931.2	0.00885	noncoding
XR_869519.1	0.04339	noncoding
XR_871566.2	0.01854	noncoding
XR_872832.3	0.01921	noncoding
XR_874581.3	0.00607	noncoding
XR_880905.2	0.02149	noncoding
XR_876613.1	0.11756	noncoding
NR_131141.1	0.02199	noncoding
XR_880573.2	0.02120	noncoding
XR_872812.1	0.00765	noncoding
NM_001310470.1	0.99482	coding
NR_151534.1	0.09464	noncoding
XR_879829.2	0.06112	noncoding
XR_003955730.1	0.01942	noncoding
XR_003956023.1	0.01511	noncoding
XR_003948117.1	0.03405	noncoding
XR_871905.2	0.00253	noncoding
XR_001780632.2	0.02932	noncoding
XR_003947615.1	0.48071	noncoding
XR_865854.2	0.38425	noncoding
XR_003951193.1	0.14150	noncoding
XR_003952277.1	0.03001	noncoding
XR_868042.1	0.04052	noncoding
XR_876000.2	0.02841	noncoding
XR_875489.3	0.00590	noncoding
XM_017317183.1	0.29455	noncoding
NR_038156.1	0.34015	noncoding
NR_102341.1	0.22901	noncoding
NR_131142.1	0.07097	noncoding
XR_877217.2	0.07399	noncoding
NR_165171.1	0.05295	noncoding
XR_874924.1	0.04747	noncoding
XR_003951123.1	0.01344	noncoding
XR_877918.3	0.07902	noncoding
XR_866998.2	0.23455	noncoding
XR_881441.3	0.03585	noncoding
XR_376892.3	0.04105	noncoding
XR_869563.2	0.03032	noncoding
XR_871037.3	0.12130	noncoding
XR_882423.3	0.03585	noncoding
XR_376977.2	0.01125	noncoding
XR_380176.3	0.08480	noncoding
XR_003946890.1	0.05544	noncoding
NM_025975.5	0.97684	coding
NM_001145759.1	0.06890	noncoding
XR_873819.1	0.15511	noncoding
XR_384637.2	0.01365	noncoding
NR_037693.1	0.07355	noncoding
XR_376397.2	0.05187	noncoding
XR_873810.1	0.01065	noncoding
NR_153767.1	0.10063	noncoding
XR_003953838.1	0.25925	noncoding
XR_001784971.2	0.01089	noncoding
XR_867374.2	0.01788	noncoding
NM_026679.2	0.19798	noncoding
XR_387861.1	0.01494	noncoding
XR_867582.1	0.05826	noncoding
XR_386214.2	0.84362	coding
NR_033569.1	0.14317	noncoding
XR_381444.2	0.06882	noncoding
XR_373553.3	0.01338	noncoding
XR_003949710.1	0.02059	noncoding
XR_880312.3	0.02031	noncoding
XR_873410.2	0.04322	noncoding
XR_003948356.1	0.01676	noncoding
XR_003953424.1	0.02059	noncoding
XM_006539039.1	0.98820	coding
NR_152723.1	0.08666	noncoding
XR_003948776.1	0.01094	noncoding
XR_003951952.1	0.15186	noncoding
XR_003954077.1	0.01710	noncoding
NM_001347610.1	0.17185	noncoding
XR_877419.3	0.02525	noncoding
XM_011249528.3	0.97225	coding
XR_003947614.1	0.52533	coding
XR_868715.2	0.00215	noncoding
XR_390208.3	0.00485	noncoding
NM_173756.4	0.84099	coding
NM_026615.4	0.66412	coding
XR_001781469.2	0.16269	noncoding
XR_386770.4	0.01946	noncoding
XR_003952868.1	0.00823	noncoding
XR_003955422.1	0.08069	noncoding
XR_878049.2	0.00526	noncoding
XM_011249527.1	0.97872	coding
XR_874959.1	0.01687	noncoding
NM_001039038.2	0.48198	noncoding
XR_003950099.1	0.04828	noncoding
XM_030250314.1	0.98443	coding
XR_867386.3	0.00696	noncoding
XR_878708.2	0.02769	noncoding
NM_001122954.1	0.98625	coding
NR_045391.1	0.04412	noncoding
XR_869896.2	0.00440	noncoding
XR_374626.4	0.03950	noncoding
XR_001778654.2	0.00295	noncoding
XR_876208.2	0.01663	noncoding
XR_868143.2	0.04436	noncoding
XR_379326.4	0.00493	noncoding
XR_877906.2	0.01639	noncoding
XR_001778819.2	0.01370	noncoding
XR_872552.2	0.01190	noncoding
XR_001780597.2	0.01494	noncoding
XR_866644.3	0.02587	noncoding
XR_003955165.1	0.00580	noncoding
XR_869792.2	0.01922	noncoding
XR_003953465.1	0.00580	noncoding
NR_164179.1	0.04729	noncoding
NR_027846.1	0.86493	coding
XR_373734.2	0.22645	noncoding
XR_001779669.1	0.02478	noncoding
XR_001779360.1	0.00242	noncoding
XR_003955978.1	0.00874	noncoding
XR_869158.2	0.02785	noncoding
XR_375973.2	0.06250	noncoding
NR_156700.1	0.10770	noncoding
XR_868529.2	0.03099	noncoding
XR_879184.3	0.02263	noncoding
XM_006539038.1	0.98636	coding
XR_882254.1	0.89467	coding
XR_382481.2	0.02412	noncoding
XR_001780872.1	0.01713	noncoding
NR_151451.1	0.54290	coding
XR_001782515.2	0.77761	coding
XR_867773.2	0.03463	noncoding
XR_003955230.1	0.06578	noncoding
XR_001779156.2	0.26749	noncoding
NR_152259.1	0.01009	noncoding
NR_155552.1	0.98819	coding
XR_003947931.1	0.06000	noncoding
XR_003954002.1	0.00610	noncoding
XR_379480.4	0.10082	noncoding
NM_001347121.1	0.92673	coding
XM_030250488.1	0.36740	noncoding
XR_386803.4	0.14550	noncoding
NR_153839.1	0.11581	noncoding
XR_001781288.2	0.05640	noncoding
NR_110334.1	0.03179	noncoding
XR_003954587.1	0.00243	noncoding
XR_869397.3	0.65120	coding
XR_386882.4	0.03201	noncoding
NM_001163454.2	0.96469	coding
XR_876719.1	0.01732	noncoding
XR_001781021.1	0.05896	noncoding
XR_003954440.1	0.01000	noncoding
XR_003955157.1	0.00149	noncoding
XR_384640.2	0.01289	noncoding
XR_375974.2	0.04618	noncoding
XR_378110.3	0.00514	noncoding
XR_003951641.1	0.04678	noncoding
XR_379325.4	0.00582	noncoding
XR_382673.2	0.00716	noncoding
XM_030246570.1	0.94597	coding
XR_384961.4	0.04638	noncoding
XR_003955429.1	0.55688	coding
XR_881227.1	0.31001	noncoding
NM_025461.6	0.88326	coding
XR_878450.2	0.01733	noncoding
XR_388561.2	0.03843	noncoding
NM_001309430.1	0.31219	noncoding
XM_017314196.2	0.00373	noncoding
XR_003949992.1	0.98779	coding
XM_006522450.4	0.94771	coding
NR_167899.1	0.01114	noncoding
NR_033140.1	0.01421	noncoding
XR_003951124.1	0.01245	noncoding
XR_384820.3	0.12289	noncoding
XR_379903.4	0.00267	noncoding
NR_028384.1	0.31578	noncoding
XR_383665.3	0.03522	noncoding
NR_138559.1	0.01578	noncoding
XR_001783867.2	0.00903	noncoding
NM_001097979.2	0.98750	coding
NM_001110555.1	0.98750	coding
NR_040706.1	0.06505	noncoding
XR_387231.3	0.03088	noncoding
XR_881288.2	0.02837	noncoding
XR_872939.3	0.01521	noncoding
XR_001782214.2	0.01760	noncoding
XR_003955148.1	0.03751	noncoding
XR_379223.4	0.01224	noncoding
XR_378747.1	0.06002	noncoding
XR_385090.2	0.01332	noncoding
XR_385123.2	0.01332	noncoding
XR_003955874.1	0.03529	noncoding
NR_015537.2	0.12413	noncoding
NM_001042614.2	0.01736	noncoding
XR_865349.2	0.60281	coding
XR_003949709.1	0.28802	noncoding
XR_872949.3	0.05969	noncoding
XR_378145.3	0.04337	noncoding
XR_003946795.1	0.00451	noncoding
XR_003948330.1	0.09415	noncoding
XR_389901.3	0.04337	noncoding
XR_875688.1	0.02416	noncoding
XR_874927.2	0.01853	noncoding
NR_045986.1	0.15285	noncoding
XR_381312.2	0.01864	noncoding
XR_003951111.1	0.00310	noncoding
XR_001785460.2	0.00965	noncoding
XR_379222.3	0.01813	noncoding
NM_009498.4	0.98674	coding
NR_027805.1	0.03891	noncoding
XR_874861.1	0.06281	noncoding
NR_155762.1	0.10403	noncoding
XR_003947930.1	0.04384	noncoding
XR_872640.2	0.00468	noncoding
XR_877428.2	0.05496	noncoding
XR_384461.2	0.22747	noncoding
XR_877329.1	0.09135	noncoding
NR_131151.1	0.02077	noncoding
XR_003947768.1	0.04953	noncoding
XR_874928.2	0.01735	noncoding
XR_875655.2	0.03675	noncoding
XR_001784334.2	0.03245	noncoding
NR_166898.1	0.04597	noncoding
XR_871743.1	0.01200	noncoding
XR_875130.2	0.04360	noncoding
XR_001782531.2	0.00934	noncoding
XR_003954017.1	0.06207	noncoding
XR_390832.2	0.04352	noncoding
XR_872641.2	0.00742	noncoding
XR_874929.2	0.01025	noncoding
XR_375015.3	0.00428	noncoding
XM_006531204.4	0.57122	coding
XR_374582.2	0.01868	noncoding
XR_001780954.2	0.02528	noncoding
XR_003951002.1	0.08833	noncoding
XR_001781948.2	0.00739	noncoding
XR_001778198.2	0.05992	noncoding
XM_006531205.2	0.63141	coding
XR_876063.2	0.01940	noncoding
XR_386757.3	0.17057	noncoding
XR_003947442.1	0.04963	noncoding
NM_001109989.2	0.02703	noncoding
NR_046024.1	0.12547	noncoding
XR_381742.3	0.02077	noncoding
XR_003949556.1	0.00586	noncoding
XR_391291.4	0.08248	noncoding
XM_006511590.4	0.99283	coding
NR_002452.2	0.09944	noncoding
XR_003948962.1	0.34634	noncoding
NR_166403.1	0.02182	noncoding
NR_102306.1	0.08914	noncoding
XR_382663.2	0.05467	noncoding
XM_006495559.3	0.99105	coding
XR_001779824.2	0.03141	noncoding
NR_045987.1	0.08794	noncoding
XR_865861.2	0.01037	noncoding
NR_155450.1	0.07147	noncoding
NR_046210.1	0.01506	noncoding
NM_001284387.1	0.73747	coding
XR_373989.2	0.00939	noncoding
XM_017322272.1	0.97936	coding
XR_383543.4	0.11097	noncoding
XR_378806.3	0.01222	noncoding
NM_001177776.1	0.99813	coding
NR_046048.1	0.05968	noncoding
XR_874678.1	0.04283	noncoding
XR_384638.2	0.01497	noncoding
XM_017314195.2	0.01647	noncoding
XR_389017.4	0.04845	noncoding
XR_378675.3	0.01921	noncoding
XR_876255.1	0.18106	noncoding
XR_003948723.1	0.00857	noncoding
XR_876209.2	0.00680	noncoding
NR_166404.1	0.01352	noncoding
XM_006514293.1	0.94055	coding
XR_001784842.1	0.11735	noncoding
NM_011316.4	0.55581	coding
NR_151455.1	0.02801	noncoding
XR_382310.3	0.00888	noncoding
XR_001780318.2	0.05362	noncoding
XR_871320.3	0.00570	noncoding
XR_003949443.1	0.03788	noncoding
XR_003951112.1	0.00515	noncoding
XR_876301.2	0.07060	noncoding
XR_388085.4	0.02689	noncoding
NR_024328.1	0.18136	noncoding
NM_001267717.1	0.13673	noncoding
XR_003951114.1	0.00315	noncoding
XM_006526518.4	0.57575	coding
XR_378540.1	0.18607	noncoding
XM_006515585.1	0.94256	coding
XR_865956.1	0.01152	noncoding
XM_011238403.2	0.98814	coding
XM_030249609.1	0.99481	coding
XM_030252751.1	0.35664	noncoding
XR_879068.3	0.40796	noncoding
NR_038019.1	0.09096	noncoding
NM_026532.4	0.98522	coding
NR_153316.1	0.02345	noncoding
XR_003952600.1	0.01198	noncoding
XR_871319.3	0.00495	noncoding
NM_001164038.2	0.88543	coding
XR_867585.1	0.03376	noncoding
NR_131037.1	0.00676	noncoding
XR_001784347.1	0.07384	noncoding
XR_003950519.1	0.25922	noncoding
XR_001780882.2	0.02975	noncoding
XR_003951091.1	0.03384	noncoding
XR_868540.1	0.00199	noncoding
NR_166448.1	0.05859	noncoding
NR_033642.1	0.04951	noncoding
XR_379628.2	0.00742	noncoding
XR_379932.4	0.00478	noncoding
NM_001164039.2	0.90334	coding
XR_882253.1	0.85901	coding
XR_378112.3	0.00317	noncoding
XR_003949557.1	0.00707	noncoding
XR_003952861.1	0.01093	noncoding
XR_003948119.1	0.06217	noncoding
XR_003948184.1	0.01857	noncoding
NR_026942.1	0.03241	noncoding
NM_001361664.1	0.99570	coding
NR_156476.1	0.82589	coding
XR_003955991.1	0.01039	noncoding
NR_165823.1	0.14561	noncoding
XM_006514292.3	0.92022	coding
XR_386594.3	0.01572	noncoding
XM_006498910.4	0.36930	noncoding
XR_003955193.1	0.01252	noncoding
XR_389455.4	0.01107	noncoding
XR_003956298.1	0.00596	noncoding
NR_040301.1	0.06039	noncoding
XR_001781976.1	0.04408	noncoding
XR_003955137.1	0.02120	noncoding
XR_378826.3	0.09800	noncoding
NR_045868.1	0.00565	noncoding
NM_001368229.1	0.99512	coding
NR_160853.1	0.21737	noncoding
XR_003949708.1	0.25441	noncoding
XM_017315333.2	0.53560	coding
XM_030247695.1	0.98285	coding
XR_865945.3	0.00586	noncoding
XR_001784252.2	0.10860	noncoding
XR_001779258.2	0.01706	noncoding
XR_378105.2	0.01807	noncoding
XR_105825.4	0.34849	noncoding
XR_878955.1	0.00328	noncoding
XR_880598.2	0.00733	noncoding
XR_003951514.1	0.03565	noncoding
XR_003955992.1	0.01807	noncoding
NR_033220.1	0.15775	noncoding
XR_001779626.1	0.35259	noncoding
XR_001782275.1	0.24637	noncoding
XR_003953942.1	0.00517	noncoding
XR_870601.1	0.02024	noncoding
XR_878136.1	0.00230	noncoding
XR_001780246.2	0.01625	noncoding
XR_383761.2	0.03843	noncoding
XR_390920.3	0.01682	noncoding
XR_871136.3	0.02839	noncoding
XR_001783046.2	0.01625	noncoding
NR_073378.1	0.98416	coding
XR_384995.2	0.10674	noncoding
XR_001783820.1	0.01148	noncoding
XR_003951113.1	0.00256	noncoding
XR_385829.4	0.01617	noncoding
NM_001271390.1	0.99694	coding
XR_388589.4	0.02641	noncoding
XR_001782697.2	0.07528	noncoding
XR_003947623.1	0.24381	noncoding
NR_166463.1	0.04009	noncoding
NR_015457.2	0.00318	noncoding
XR_003950260.1	0.00511	noncoding
XR_003951572.1	0.00444	noncoding
XR_003955300.1	0.00901	noncoding
XR_391567.3	0.00547	noncoding
XR_390927.4	0.00901	noncoding
XM_006514294.3	0.94086	coding
NR_152190.1	0.03968	noncoding
XR_866490.3	0.09341	noncoding
XR_003955233.1	0.03830	noncoding
XR_003948157.1	0.07411	noncoding
NR_167655.1	0.00546	noncoding
XR_391554.2	0.05673	noncoding
NR_033632.2	0.02017	noncoding
XR_373650.4	0.80029	coding
XR_872651.3	0.02969	noncoding
XR_875133.2	0.04585	noncoding
NR_132133.1	0.15583	noncoding
XR_874605.2	0.11251	noncoding
XR_001784924.2	0.00505	noncoding
XR_001778244.2	0.00398	noncoding
XR_380254.2	0.02743	noncoding
XR_877627.1	0.00987	noncoding
XR_386076.4	0.00143	noncoding
NR_165267.1	0.06277	noncoding
NR_040302.1	0.25148	noncoding
XR_001782701.1	0.02141	noncoding
XR_001783530.1	0.05405	noncoding
XR_003949025.1	0.03902	noncoding
XR_381424.3	0.01019	noncoding
XR_003951484.1	0.31223	noncoding
XR_001781964.2	0.00755	noncoding
XR_003955102.1	0.11091	noncoding
XR_377244.3	0.02549	noncoding
NR_166569.1	0.98310	coding
XR_872274.2	0.05364	noncoding
NM_001357229.1	0.95447	coding
XR_001783526.2	0.00638	noncoding
XR_003954609.1	0.31521	noncoding
XR_003953075.1	0.03053	noncoding
NR_045108.2	0.49444	noncoding
XR_001784869.1	0.04174	noncoding
XR_875674.2	0.11312	noncoding
XR_003951943.1	0.02301	noncoding
XR_390681.3	0.04665	noncoding
XR_001784296.2	0.06389	noncoding
NR_040717.1	0.02308	noncoding
XR_003955852.1	0.05952	noncoding
XR_003955855.1	0.08030	noncoding
XR_387806.3	0.00147	noncoding
XR_003953277.1	0.57988	coding
XR_870020.1	0.57819	coding
NR_149354.1	0.04501	noncoding
XM_006515056.4	0.98156	coding
XR_866857.1	0.03198	noncoding
NR_132431.1	0.03387	noncoding
NR_152227.1	0.04534	noncoding
XR_001782939.2	0.00813	noncoding
XR_001782943.2	0.00813	noncoding
XR_871424.2	0.10750	noncoding
XR_003951630.1	0.02803	noncoding
NR_045699.1	0.03958	noncoding
NR_102342.1	0.20856	noncoding
NM_001362686.1	0.99884	coding
XR_873222.3	0.27605	noncoding
XR_003955198.1	0.00789	noncoding
XR_003955200.1	0.00789	noncoding
NR_110517.1	0.01416	noncoding
XR_874679.2	0.00770	noncoding
XR_003946655.1	0.72603	coding
XR_001779632.1	0.28942	noncoding
XR_003948912.1	0.01663	noncoding
XR_001781939.2	0.00586	noncoding
XR_003948590.1	0.05068	noncoding
XR_001781971.1	0.01081	noncoding
XR_374014.3	0.04448	noncoding
XR_003956517.1	0.00962	noncoding
NR_033524.1	0.16465	noncoding
XR_377319.4	0.54941	coding
XR_001782923.2	0.61629	coding
XR_373319.3	0.00880	noncoding
XR_003953894.1	0.00913	noncoding
NR_033469.1	0.00811	noncoding
XR_871559.3	0.23204	noncoding
XR_380613.3	0.12077	noncoding
XR_867634.2	0.87608	coding
XM_030243176.1	0.99360	coding
XR_871137.3	0.01123	noncoding
XR_870689.3	0.14795	noncoding
XR_003954058.1	0.03525	noncoding
XR_387805.3	0.01032	noncoding
NR_166681.1	0.13347	noncoding
XR_868694.1	0.07465	noncoding
XR_378583.2	0.00236	noncoding
XR_870965.1	0.06103	noncoding
NR_152863.1	0.99784	coding
XM_030252049.1	0.40869	noncoding
XR_001784259.2	0.07103	noncoding
XR_388186.2	0.01235	noncoding
XR_001779754.1	0.21051	noncoding
XR_870090.2	0.01499	noncoding
XR_382805.2	0.05109	noncoding
XR_001779054.1	0.03056	noncoding
NM_001347080.1	0.96972	coding
NR_015609.2	0.06818	noncoding
XR_383666.4	0.01698	noncoding
XR_001782654.2	0.19167	noncoding
XR_003946847.1	0.00336	noncoding
XM_006525579.3	0.99606	coding
XR_391281.2	0.02401	noncoding
XR_871956.1	0.00540	noncoding
XR_001780176.1	0.00496	noncoding
XR_003946856.1	0.01582	noncoding
NR_045143.1	0.10820	noncoding
NM_001256056.1	0.15814	noncoding
XR_380884.2	0.00551	noncoding
XR_003952662.1	0.01006	noncoding
NR_037999.1	0.01999	noncoding
NM_009155.4	0.00851	noncoding
XR_878372.3	0.00626	noncoding
XM_030246983.1	0.95888	coding
XR_881176.2	0.25991	noncoding
XM_030243855.1	0.45771	noncoding
NR_015596.1	0.00288	noncoding
XR_865568.1	0.05659	noncoding
XR_003955225.1	0.00816	noncoding
XR_881105.2	0.00515	noncoding
XR_003946676.1	0.05831	noncoding
XR_003953511.1	0.00816	noncoding
NR_045894.1	0.02157	noncoding
XR_382751.2	0.00522	noncoding
XM_030242579.1	0.83817	coding
XR_001779675.2	0.01740	noncoding
XR_872940.3	0.01452	noncoding
XR_375314.3	0.00570	noncoding
XR_001784877.2	0.00440	noncoding
NM_001362056.1	0.98293	coding
XR_003948317.1	0.16330	noncoding
XR_373900.3	0.01683	noncoding
XR_003949027.1	0.06006	noncoding
XR_872112.3	0.02589	noncoding
XR_386593.3	0.00993	noncoding
XR_879010.3	0.75795	coding
NM_001282024.1	0.93514	coding
NM_001286663.1	0.99799	coding
XR_381683.2	0.02266	noncoding
XR_001784484.1	0.05032	noncoding
NR_152155.1	0.00622	noncoding
NM_001358253.1	0.61961	coding
XR_878500.2	0.02001	noncoding
XR_869581.2	0.40261	noncoding
NR_165268.1	0.01877	noncoding
NM_001110854.1	0.99458	coding
XR_875977.1	0.01864	noncoding
NM_001359201.1	0.52698	coding
XR_386075.4	0.01108	noncoding
XR_001783454.2	0.01878	noncoding
XR_868714.2	0.00244	noncoding
XR_388197.1	0.03811	noncoding
NM_001034896.2	0.17847	noncoding
NR_033472.1	0.00517	noncoding
XR_881971.2	0.04330	noncoding
XR_003950109.1	0.98590	coding
XR_874997.3	0.00339	noncoding
NR_027446.1	0.06590	noncoding
XR_001778943.2	0.04540	noncoding
XR_003950248.1	0.02088	noncoding
XR_379644.2	0.31834	noncoding
XR_379719.2	0.06432	noncoding
NR_015579.2	0.12470	noncoding
XR_380797.4	0.08648	noncoding
XR_001781961.2	0.04443	noncoding
XR_389705.2	0.00511	noncoding
XR_381738.2	0.00965	noncoding
XR_001780237.1	0.01466	noncoding
XR_877410.3	0.13597	noncoding
XR_877754.2	0.01182	noncoding
XR_868588.3	0.21268	noncoding
XR_003947443.1	0.05536	noncoding
NR_040636.1	0.01257	noncoding
XR_867338.1	0.01313	noncoding
NR_015539.2	0.00756	noncoding
XR_867481.2	0.00483	noncoding
NM_019682.4	0.94676	coding
XR_880577.1	0.06052	noncoding
